일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2001,4.6,15.5,-3.7,166.0,151.54
2002,6.1,17.7,-2.5,46.5,203.375
2002,11.1,22.6,2.2,27.5,258.24
2002,9.6,18.2,0.8,99.0,145.195
2003,5.7,16.0,-1.2,74.5,180.245
2003,14.4,23.5,2.2,244.5,216.855
2003,7.2,18.5,-1.3,33.5,179.495
2004,4.5,13.1,-4.8,68.5,193.14
2004,12.9,23.1,3.2,75.5,294.31
2004,8.7,20.2,-0.6,48.0,193.44
2005,4.2,14.3,-1.2,58.0,145.335
2005,13.0,24.6,3.0,124.0,270.59
2005,4.5,18.5,-3.0,112.5,161.155
2006,6.7,18.7,-0.8,99.0,189.075
2006,14.3,24.1,4.9,85.5,202.835
2006,8.5,17.3,0.2,90.5,156.52
2007,6.9,14.6,0.6,46.3,165.16
2007,12.3,20.0,1.7,0.2,294.385
2007,9.5,18.2,0.8,114.7,138.255
2008,6.5,19.8,-0.8,120.5,170.845
2000,12.2,22.1,1.7,112.0,283.795
2000,7.7,18.3,-0.4,8.0,242.27
2001,4.9,16.6,-4.8,165.0,197.505
2001,9.5,19.8,0.6,67.0,296.465
2001,4.6,15.5,-3.7,166.0,151.54
2002,6.1,17.7,-2.5,46.5,203.375
2002,11.1,22.6,2.2,27.5,258.24
2002,9.6,18.2,0.8,99.0,145.195
2003,5.7,16.0,-1.2,74.5,180.245
2003,14.4,23.5,2.2,244.5,216.855
2003,7.2,18.5,-1.3,33.5,179.495
2004,4.5,13.1,-4.8,68.5,193.14
2004,12.9,23.1,3.2,75.5,294.31
2004,8.7,20.2,-0.6,48.0,193.44
2005,4.2,14.3,-1.2,58.0,145.335
2005,13.0,24.6,3.0,124.0,270.59
2005,4.5,18.5,-3.0,112.5,161.155
2006,6.7,18.7,-0.8,99.0,189.075
2006,14.3,24.1,4.9,85.5,202.835
2006,8.5,17.3,0.2,90.5,156.52
2007,6.9,14.6,0.6,46.3,165.16
2007,12.3,20.0,1.7,0.2,294.385
2007,9.5,18.2,0.8,114.7,138.255
2008,6.5,19.8,-0.8,120.5,170.845
2008,12.4,21.6,1.4,88.3,241.405
2008,8.1,18.9,0.1,35.4,210.915
2009,5.3,15.5,-3.8,67.9,183.785
2009,11.3,22.7,2.0,95.5,221.33
2009,6.3,15.6,-1.8,53.9,182.1
2010,4.5,15.9,-4.0,49.4,214.895
2010,12.1,21.6,2.3,3.0,309.125
2010,7.2,20.6,-1.9,106.8,203.49
2011,2.4,9.1,-3.2,19.0,168.72
2011,16.0,25.7,3.4,431.8,250.215
2011,6.3,14.9,-2.8,73.0,164.015
2012,5.0,13.0,-1.2,13.9,196.525
2012,11.4,19.3,2.5,189.3,263.29
