일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2001,24.7,36.1,12.4,23.4,554.33
2001,19.5,32.1,6.5,112.9,506.0
2001,14.1,24.3,3.4,116.5,364.52
2002,22.8,32.0,14.5,597.1,217.03
2002,18.7,31.4,8.3,55.5,346.2
2002,11.4,27.3,-3.2,39.6,373.52
2003,22.6,32.9,15.5,330.6,375.54
2003,19.9,31.0,7.6,222.9,364.03
2003,12.1,25.7,-0.4,24.0,429.83
2004,23.8,34.3,16.0,317.6,442.3
2004,19.4,30.0,9.4,175.1,347.24
2004,13.1,25.6,2.0,2.6,422.94
2005,23.8,34.3,15.4,291.8,428.33
2005,20.1,33.0,9.9,107.7,333.47
2005,12.6,24.3,0.3,13.0,339.01
2006,25.4,35.7,18.1,43.0,522.72
2006,17.5,29.4,7.7,36.9,399.39
2006,15.2,27.9,3.1,36.0,395.65
2007,24.3,32.7,16.3,267.9,426.81
2007,19.4,31.2,8.8,386.1,271.24
2007,12.9,25.3,1.9,20.4,353.65
2008,23.4,32.9,13.7,172.9,538.83
2008,19.9,30.1,5.2,59.0,439.73
2008,14.3,25.8,1.4,56.5,408.07
2009,23.0,32.0,15.4,97.7,472.92
2009,19.6,30.3,10.6,54.7,494.66
2009,13.8,25.3,3.6,16.5,448.59
2010,25.8,33.8,19.9,443.2,435.26
2010,20.4,31.4,6.5,150.0,421.14
2010,13.0,23.0,-4.6,22.3,402.59
2011,23.9,31.9,14.8,369.7,391.77
2011,19.5,31.5,7.4,59.9,446.12
2011,12.4,23.9,-1.5,58.5,404.92
2012,24.9,33.7,17.5,490.1,420.57
2012,18.6,28.3,8.3,282.6,427.46
2012,12.5,23.6,0.8,47.0,301.84
2013,25.9,34.0,17.6,106.1,511.69
2013,19.3,29.5,6.0,94.8,380.54
2013,13.5,25.1,1.1,48.0,351.56
2014,22.2,30.8,13.2,402.3,377.2
2014,19.1,30.0,8.4,88.8,455.75
2014,12.6,23.5,-0.5,121.1,403.17
2015,23.8,34.8,15.5,89.4,521.84
2015,18.7,28.8,8.7,24.2,472.14
2015,13.8,25.2,-0.9,79.1,427.21
2016,25.5,35.6,14.4,90.6,580.45
2016,20.0,30.5,8.8,187.2,340.1
2016,14.2,24.8,0.7,123.8,293.32
2017,24.0,34.6,13.4,208.2,498.29
2017,18.8,28.1,5.2,105.9,481.65
2017,13.7,27.1,-1.8,48.2,357.24
2018,26.3,36.7,14.8,335.4,528.9
2018,19.0,27.3,6.6,92.3,415.21
2018,11.5,23.1,0.3,196.4,416.45
2019,24.9,33.8,16.2,218.1,570.8
2019,20.3,30.8,10.1,191.8,394.71
2019,14.2,26.9,1.2,179.4,399.76
2020,25.4,32.9,19.6,333.5,494.1
2020,18.7,27.5,8.1,226.8,433.06
2020,12.4,24.4,-0.3,5.0,449.15
2021,23.4,33.4,17.5,285.6,416.39
2021,19.8,28.9,11.6,161.2,402.65
2021,13.5,28.9,-1.7,41.0,412.27
2000,23.9,33.1,15.1,259.0,438.38
2000,17.6,30.0,6.1,221.5,365.085
2000,11.3,26.7,-3.6,24.0,376.315
2001,24.0,34.5,11.3,93.5,540.58
2001,18.4,31.2,3.0,19.5,496.705
2001,12.8,24.8,2.0,84.0,347.62
2002,22.7,33.7,15.5,652.0,267.125
2002,18.2,31.7,7.3,69.5,390.37
2002,10.0,25.3,-5.4,44.5,372.65
2003,22.5,32.2,12.5,346.0,367.515
2003,18.8,28.8,6.3,287.5,364.27
2003,10.1,26.4,-3.5,24.5,426.255
2004,23.4,34.9,15.3,259.0,475.54
2004,18.7,30.2,8.8,163.5,388.015
2004,11.2,24.2,-1.2,2.0,428.33
2005,23.5,33.7,14.1,259.0,435.0
2005,20.1,31.8,10.0,363.0,369.13
2005,11.7,25.1,-1.7,57.5,360.64
2006,25.4,35.5,17.6,56.5,550.165
2006,17.6,30.2,6.6,25.0,430.77
2006,14.1,25.7,2.5,39.5,399.385
2007,24.0,32.5,14.1,696.5,438.545
2007,19.7,31.5,11.8,333.0,292.27
2007,12.6,26.2,-1.7,33.5,371.425
2008,22.9,34.3,12.3,222.0,537.15
2008,18.9,32.5,4.8,63.6,444.275
2008,12.3,28.1,-0.4,24.0,381.57
2009,22.9,33.3,12.0,213.0,469.58
2009,18.4,31.2,8.8,58.5,455.02
2009,11.5,25.7,-0.3,31.5,386.735
2010,25.3,33.8,19.5,345.7,426.63
2010,19.5,32.1,4.6,432.8,410.485
2010,11.6,23.5,-5.4,22.8,381.65
