일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2017,24.4,35.2,14.6,291.5,414.835
2017,19.4,28.3,6.8,43.3,445.645
2017,13.6,26.6,-3.2,14.1,362.61
2018,27.2,37.8,17.0,282.7,564.695
2018,19.3,28.8,7.4,124.6,487.13
2018,11.1,24.3,-1.4,99.8,422.92
2019,24.9,34.3,15.0,90.7,567.65
2019,20.3,29.3,8.5,102.8,376.365
2019,14.0,26.5,1.2,81.9,389.89
2020,26.0,34.1,20.5,481.7,409.86
2020,19.6,30.3,9.8,167.2,446.42
2020,12.2,24.2,-0.9,18.9,421.735
2021,24.3,33.8,17.8,230.0,454.95
2021,20.9,28.9,12.9,250.8,440.29
2021,14.0,28.7,-1.2,49.5,388.865
2000,26.8,34.4,20.5,701.5,467.45
2000,20.9,30.5,11.4,241.0,395.75
2000,15.5,26.9,3.9,46.0,359.73
2001,26.8,34.2,19.3,170.0,552.34
2001,22.3,32.9,10.3,10.0,550.28
2001,16.8,26.1,6.9,85.0,371.71
2002,24.2,33.0,18.7,477.0,337.23
2002,20.7,30.0,13.1,27.0,444.9
2002,13.7,24.7,1.5,134.0,397.61
2003,24.0,31.2,16.1,310.0,407.6
2003,21.3,29.1,13.2,128.0,408.12
2003,14.5,26.5,4.6,23.0,429.23
2004,25.7,34.2,16.3,164.0,545.56
2004,21.5,31.6,12.5,195.0,441.89
2004,15.0,25.7,2.2,4.0,459.11
2005,25.5,34.9,18.5,291.5,438.71
2005,22.4,31.0,14.3,282.5,383.45
2005,14.8,25.5,3.5,21.0,402.08
2006,26.6,34.2,20.0,21.5,581.3
2006,20.3,30.7,11.3,23.5,460.09
2006,17.0,27.1,7.0,24.5,395.44
2007,26.6,33.9,19.5,239.5,439.2
2007,21.6,31.1,12.8,384.0,319.48
2007,15.4,27.8,5.0,59.0,380.72
2008,25.1,35.5,17.7,119.5,550.98
2008,22.0,32.0,9.6,46.9,442.89
2008,16.1,26.7,6.9,26.7,365.86
2009,25.1,32.5,16.2,176.6,529.83
2009,21.1,29.0,14.1,25.5,491.78
2009,16.4,27.0,8.5,39.5,417.61
2010,27.3,34.4,21.8,402.7,446.46
2010,22.7,33.6,8.9,213.1,430.2
2010,15.0,24.4,0.0,19.2,398.01
2011,25.3,34.0,17.2,289.4,379.33
2011,21.1,30.8,11.7,70.8,473.66
2011,14.0,22.6,1.2,13.9,396.03
2012,26.8,36.3,16.9,450.2,406.18
2012,20.5,30.0,12.7,207.7,369.25
2012,15.0,24.5,4.7,65.0,360.28
2013,27.0,33.5,18.4,214.6,517.93
2013,21.2,30.6,10.9,320.0,400.57
2013,15.8,29.1,4.9,10.9,386.92
2014,23.8,32.4,18.4,168.5,392.12
2014,21.2,29.9,14.3,152.0,430.67
2014,15.6,27.7,3.2,156.0,268.6
2015,25.3,33.8,18.0,30.2,397.7
2015,21.4,30.3,13.6,13.3,387.2
2015,15.6,25.4,3.0,90.0,306.14
2016,26.7,33.9,15.5,5.1,434.145
2016,22.2,30.9,14.6,73.4,366.845
2016,16.3,30.8,2.2,108.0,288.8
2017,25.6,35.2,15.6,210.0,414.835
2017,20.9,29.0,11.1,90.0,445.645
2017,15.5,26.0,2.9,26.6,362.61
2018,27.6,36.4,20.0,239.6,564.695
2018,21.2,30.8,11.6,158.2,487.13
2018,13.7,25.5,2.8,154.7,422.92
2019,26.4,35.5,18.3,131.3,567.65
2019,22.1,29.8,11.8,118.7,376.365
2019,16.3,28.0,5.6,63.9,389.89
2020,26.6,34.5,21.6,321.5,409.86
2020,21.0,30.3,12.7,177.1,446.42
2020,14.4,23.3,4.2,16.2,421.735
2021,25.5,32.8,18.8,253.7,454.95
2021,22.5,29.6,15.3,215.9,440.29
2021,16.1,29.6,2.4,39.6,388.865
2000,26.4,35.1,18.0,543.0,467.45
2000,20.1,31.6,10.0,238.5,395.75
2000,14.0,28.2,0.0,39.0,359.73
2001,26.2,37.0,16.3,98.0,552.34
2001,21.8,33.0,8.3,10.5,550.28
2001,15.1,26.7,4.8,76.5,371.71
2002,24.2,34.7,19.2,358.5,337.23
2002,20.2,32.2,9.8,57.5,444.9
2002,11.3,24.8,-2.7,78.5,397.61
2003,23.7,32.5,15.8,202.0,407.6
2003,20.6,30.3,9.3,167.5,408.12
2003,11.8,26.7,-1.0,24.5,429.23
2004,25.9,35.7,15.8,249.0,545.56
2004,20.9,31.5,10.6,176.5,441.89
2004,13.9,26.1,-0.1,1.0,459.11
2005,24.9,35.0,16.7,381.5,438.71
2005,21.9,32.2,12.5,225.5,383.45
2005,13.3,25.8,-1.1,30.5,402.08
2006,27.2,36.0,19.3,83.5,581.3
2006,19.8,31.7,9.6,37.5,460.09
2006,16.3,28.7,1.6,15.0,395.44
2007,26.5,35.0,19.7,319.5,439.2
2007,21.4,32.9,11.8,502.5,319.48
2007,14.4,27.7,0.3,37.0,380.72
2008,25.1,35.2,17.4,154.0,550.98
2008,21.8,32.9,6.7,48.8,442.89
2008,15.1,29.1,3.4,24.1,365.86
2009,25.1,33.9,15.5,140.2,529.83
2009,21.0,32.4,11.7,30.5,491.78
2009,15.1,28.7,5.3,23.7,417.61
2010,27.2,34.9,21.7,431.1,446.46
2010,22.4,33.8,6.2,149.8,430.2
2010,14.1,25.9,-1.8,17.8,398.01
2011,25.6,35.2,18.0,618.1,379.33
2011,20.7,33.0,9.9,104.2,473.66
2011,12.6,23.9,-1.3,26.6,396.03
2012,26.5,37.3,16.2,573.3,406.18
2012,19.7,30.8,10.9,186.2,369.25
2012,13.2,25.4,0.5,83.0,360.28
2013,26.8,34.5,16.8,119.5,517.93
2013,20.7,30.8,7.4,184.8,400.57
2013,14.8,28.2,1.0,17.5,386.92
2014,23.8,31.4,17.1,225.1,392.12
2014,20.7,31.2,11.4,157.5,430.67
2014,14.2,27.8,0.6,170.5,268.6
2015,25.4,35.8,17.3,56.9,397.7
2015,20.6,30.7,10.6,22.0,387.2
2015,14.0,26.3,-1.5,104.0,306.14
2016,27.1,36.2,14.1,33.4,434.145
2016,21.9,31.7,12.7,133.7,366.845
2016,15.4,29.6,0.1,120.1,288.8
2017,25.5,36.5,14.5,358.5,414.835
2017,20.4,30.3,7.6,97.1,445.645
2017,15.0,28.0,-1.4,51.9,362.61
2018,27.9,39.3,19.2,277.0,564.695
2018,20.4,30.6,8.3,98.3,487.13
2018,12.0,25.7,0.7,159.2,422.92
2019,26.3,36.4,16.4,102.1,567.65
2019,21.7,31.0,11.0,191.9,376.365
2019,15.3,28.5,2.7,85.6,389.89
2020,26.8,34.8,21.9,367.8,409.86
2020,20.5,31.4,10.0,208.9,446.42
2020,13.1,24.7,0.6,4.4,421.735
2021,25.2,34.9,18.7,227.6,454.95
2021,21.8,29.8,12.9,187.1,440.29
2021,14.7,30.3,-0.2,36.9,388.865
2000,24.8,33.1,17.3,372.0,467.45
2000,18.7,29.7,7.5,223.0,395.75
2000,12.8,27.2,-1.7,34.5,359.73
2001,24.4,35.2,13.1,43.0,552.34
2001,19.5,31.1,5.6,87.0,550.28
2001,13.8,25.5,2.7,96.0,371.71
2002,23.7,33.5,17.8,551.0,337.23
2002,19.3,31.5,9.1,98.5,444.9
2002,11.3,26.7,-3.5,55.5,397.61
2003,23.3,33.3,15.1,280.5,407.6
2003,20.3,31.2,8.1,192.0,408.12
2003,11.6,26.3,-1.2,22.5,429.23
2004,24.4,34.5,16.2,330.5,545.56
2004,19.9,30.1,10.6,126.0,441.89
2004,12.3,25.5,-1.6,2.5,459.11
2005,24.6,34.2,15.8,387.0,438.71
2005,21.3,33.4,10.6,118.0,383.45
2005,12.5,24.5,-1.2,23.0,402.08
2006,25.9,35.2,18.7,118.0,581.3
2006,18.7,29.7,8.6,40.5,460.09
2006,15.9,25.2,5.9,54.0,395.44
2007,26.0,35.7,18.7,343.5,439.2
2007,21.3,33.2,9.3,398.5,319.48
2007,13.5,29.2,-0.5,32.0,380.72
2008,24.4,34.9,15.0,210.0,550.98
2008,20.2,32.6,4.2,35.9,442.89
2008,13.6,28.9,1.4,40.1,365.86
2009,24.0,32.9,14.9,97.0,529.83
2009,20.0,31.7,10.3,54.5,491.78
2009,13.5,27.5,2.8,24.0,417.61
2010,26.5,34.7,20.4,495.6,446.46
2010,21.0,34.0,6.3,110.3,430.2
2010,12.7,24.7,-5.1,20.2,398.01
2011,24.7,34.0,14.5,403.0,379.33
2011,19.9,32.6,6.0,77.8,473.66
2011,11.6,25.1,-2.4,52.2,396.03
2012,25.9,36.3,17.0,497.5,406.18
2012,18.9,29.4,8.2,219.5,369.25
2012,11.9,25.0,-1.1,46.6,360.28
2013,26.6,35.3,18.0,159.5,517.93
2013,19.8,30.9,6.2,80.8,400.57
2013,13.6,27.6,0.5,32.6,386.92
2014,23.2,32.2,14.4,426.4,392.12
2014,19.8,31.5,9.3,91.2,430.67
2014,13.2,26.6,0.2,141.2,268.6
2015,24.5,35.7,16.6,83.6,397.7
2015,19.4,30.7,8.8,18.6,387.2
2015,13.3,26.4,-2.8,93.5,306.14
2016,26.2,35.7,14.2,105.6,434.145
2016,21.0,31.1,8.9,160.9,366.845
2016,14.6,27.9,-0.3,157.2,288.8
2017,24.6,36.0,14.3,222.3,414.835
2017,19.1,29.2,5.1,105.6,445.645
2017,13.6,27.8,-3.1,35.1,362.61
2018,27.2,38.8,16.3,410.4,564.695
2018,19.5,31.2,5.8,135.2,487.13
2018,11.0,24.3,-0.1,112.6,422.92
2019,25.6,36.1,15.0,105.8,567.65
2019,20.8,31.3,8.8,236.4,376.365
2019,14.0,27.3,1.4,99.3,389.89
2020,26.6,34.2,21.0,373.4,409.86
2020,19.7,30.6,9.0,167.2,446.42
2020,12.4,25.5,-0.1,4.1,421.735
2021,24.4,34.2,18.3,297.2,454.95
2021,21.1,30.2,12.6,151.9,440.29
2021,13.8,31.1,-1.4,44.0,388.865
