일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2021,9.0,21.3,-1.2,57.3,280.14
2021,1.7,12.6,-13.4,3.7,249.96
2000,5.4,21.9,-8.1,51.0,291.87
2000,0.0,15.5,-12.0,11.1,290.96
2001,-3.7,7.5,-17.5,47.7,274.37
2001,5.5,18.5,-4.5,10.7,322.66
2001,-0.9,12.0,-12.7,24.5,290.97
2002,-0.5,14.6,-12.0,71.9,271.18
2002,3.5,20.0,-6.7,19.1,289.47
2002,1.0,12.9,-8.8,46.1,219.57
2003,-2.8,10.5,-14.0,20.9,269.71
2003,8.4,23.8,-6.2,47.2,225.32
2003,1.3,14.9,-7.8,17.1,254.75
2004,-1.7,11.5,-15.6,16.0,299.42
2004,7.8,23.0,-3.7,40.2,269.94
2004,1.6,17.2,-8.4,23.3,256.1
2005,-2.1,10.2,-13.4,12.8,289.3
2005,6.8,23.2,-5.8,20.6,293.21
2005,-3.6,12.2,-14.2,14.6,255.52
2006,-0.5,12.7,-11.1,19.4,244.7
2006,7.1,22.2,-3.7,61.4,231.15
2006,0.3,14.7,-12.0,19.7,226.74
2007,-0.3,11.6,-8.8,9.8,260.86
2007,5.4,19.9,-6.7,7.2,300.92
2007,0.8,13.9,-7.6,29.9,196.33
2008,-1.1,9.0,-12.3,40.5,264.62
2008,6.7,19.7,-8.7,17.0,271.62
2008,0.5,13.3,-11.6,9.2,256.68
2009,-2.0,8.8,-13.9,12.0,283.45
2009,6.4,22.8,-6.0,52.7,255.43
2009,-0.6,10.8,-14.0,34.8,257.36
2010,-2.9,11.1,-12.9,22.5,305.33
2010,5.7,17.1,-6.3,15.1,336.26
2010,-0.7,14.4,-12.8,36.3,273.21
2011,-5.8,1.8,-15.9,3.6,337.63
2011,9.5,23.5,-4.8,95.8,226.25
2011,-0.3,9.9,-9.8,14.8,252.51
2012,-2.1,8.3,-13.5,19.8,271.31
2012,5.1,15.4,-5.3,51.0,207.41
2012,-3.6,7.8,-15.2,55.6,186.41
2013,-3.2,11.5,-15.6,42.7,217.94
2013,5.5,19.8,-5.3,48.1,294.75
2013,0.4,11.1,-9.3,27.6,260.68
2014,-0.9,11.2,-12.6,6.7,314.73
2014,7.1,17.2,-3.3,78.7,264.89
2014,-2.4,8.8,-12.6,32.0,247.15
2015,-1.1,8.5,-10.5,34.3,274.73
2015,8.5,20.2,-2.8,127.6,172.32
2015,1.9,11.8,-8.2,39.8,209.81
2016,-2.3,14.2,-16.8,18.9,266.79
2016,6.0,19.1,-6.2,30.2,271.11
2016,1.5,13.9,-8.9,38.9,239.92
2017,-1.2,12.1,-11.8,20.4,293.88
2017,5.4,20.4,-6.3,17.2,309.13
2017,-1.6,11.0,-12.1,26.0,259.35
2018,-3.4,10.2,-15.9,29.2,307.21
2018,6.6,19.8,-4.8,24.4,283.94
2018,-0.4,14.9,-14.0,28.0,262.3
2019,-0.6,8.1,-11.2,7.7,307.23
2019,7.3,20.7,-6.0,35.4,258.22
2019,1.0,12.6,-9.3,27.2,259.36
2020,1.4,12.3,-8.2,71.0,238.37
2020,7.2,21.7,-3.4,38.3,298.32
2020,-0.8,11.8,-13.5,3.1,281.92
2021,-2.3,13.5,-17.4,18.2,298.46
2021,7.2,18.2,-5.2,43.9,293.81
2021,1.0,13.3,-14.2,3.2,277.62
2000,3.1,20.6,-10.0,34.0,272.435
2000,-2.4,12.5,-17.2,19.9,272.865
2001,-6.7,7.0,-26.0,46.4,261.88
2001,2.4,17.2,-8.8,3.0,298.45
2001,-4.4,9.8,-18.7,10.0,273.625
