일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2010,-1.3,12.5,-12.0,34.7,269.85
2010,7.7,18.9,-3.3,11.7,301.32
2010,1.6,18.1,-11.5,47.7,219.01
2011,-5.1,3.6,-17.0,5.8,280.865
2011,11.7,26.8,-1.5,86.9,242.42
2011,1.1,10.8,-11.8,26.4,231.76
2012,-0.9,8.6,-12.2,19.4,257.105
2012,7.2,18.4,-2.5,58.0,262.79
2012,-1.4,10.5,-12.6,69.0,225.49
2013,-1.7,13.5,-15.8,20.8,262.035
2013,8.0,22.6,-1.8,77.0,251.375
2013,2.3,13.2,-5.2,23.7,223.29
2014,0.7,12.5,-8.9,4.1,301.0
2014,9.0,18.8,-1.1,87.1,270.205
2014,0.0,11.1,-13.2,95.9,228.2
2015,0.6,12.3,-12.2,44.1,265.565
2015,10.8,20.8,-0.3,125.2,175.42
2015,4.2,14.3,-5.5,74.5,215.94
2016,-0.5,12.7,-15.6,51.1,242.055
2016,8.1,21.1,-3.5,34.6,284.98
2016,3.5,17.8,-7.0,56.9,236.285
2017,0.6,12.3,-9.6,18.7,290.78
2017,7.2,21.3,-3.1,10.6,268.79
2017,1.0,14.3,-9.7,42.0,219.365
2018,-1.7,10.9,-14.1,34.6,202.75
2018,8.7,19.6,-0.9,39.7,219.595
2018,1.8,18.9,-11.9,26.4,191.47
2019,0.4,9.4,-8.2,8.8,229.765
2019,9.4,21.0,-2.4,55.6,307.265
2019,4.0,16.2,-6.2,30.9,236.1
2020,3.3,17.2,-6.2,79.1,232.095
2020,9.4,23.5,-0.5,49.4,279.4
2020,1.8,13.2,-11.1,31.0,263.365
2021,0.0,13.6,-18.6,32.6,274.14
2021,9.6,23.1,-1.5,100.3,280.285
2021,3.2,14.8,-10.4,21.0,250.05
2000,4.7,20.5,-8.5,53.5,239.66
2000,-0.9,14.7,-13.0,9.1,249.66
2001,-3.4,10.4,-19.3,63.2,237.9
2001,4.6,18.0,-5.4,13.5,279.71
2001,-0.9,13.8,-12.8,54.5,220.99
2002,-0.1,16.1,-13.6,103.6,211.37
2002,2.8,19.2,-8.1,36.2,289.82
2002,0.5,14.5,-12.6,47.6,234.41
2003,-4.4,9.8,-21.8,40.3,279.44
2003,8.6,24.8,-7.1,34.5,236.12
2003,0.6,15.8,-12.0,16.2,228.66
2004,-2.8,12.3,-16.7,21.2,278.84
2004,7.0,23.5,-4.1,86.0,265.9
2004,1.6,17.2,-9.8,26.0,243.25
2005,-2.7,11.1,-14.1,15.8,269.02
2005,5.8,23.6,-8.3,35.0,298.2
2005,-4.6,13.3,-21.8,41.5,235.13
2006,-0.9,12.3,-13.5,16.0,244.19
2006,7.1,22.5,-5.6,39.5,264.67
2006,0.0,15.8,-13.1,19.2,227.62
2007,-1.2,12.6,-12.3,19.5,256.49
2007,4.1,21.5,-9.6,7.0,296.93
2007,0.9,16.7,-9.3,29.2,97.01
2008,-2.0,11.1,-13.1,27.7,179.675
2008,6.1,23.8,-9.3,19.0,264.34
2008,0.3,17.2,-13.1,8.7,223.13
2009,-3.1,12.7,-18.8,16.2,268.28
2009,6.4,25.2,-8.0,21.7,244.47
2009,-0.5,12.0,-15.8,45.6,223.69
2010,-2.8,12.9,-15.5,20.9,269.85
2010,4.3,18.8,-7.6,22.1,301.32
2010,-1.6,15.6,-14.1,40.4,219.01
2011,-8.2,4.7,-18.7,2.9,280.865
2011,9.5,25.3,-5.4,152.7,242.42
2011,-1.3,10.9,-13.2,6.6,231.76
2012,-3.5,10.5,-17.8,13.6,257.105
2012,4.4,17.6,-7.1,52.6,262.79
2012,-3.8,9.3,-17.5,76.1,225.49
2013,-4.4,10.5,-21.5,18.1,262.035
2013,5.1,21.4,-6.1,84.0,251.375
2013,-0.6,12.3,-10.9,27.5,223.29
2014,-1.7,12.2,-13.4,8.8,301.0
2014,6.9,18.4,-5.6,71.2,270.205
2014,-2.5,9.5,-12.9,50.1,228.2
2015,-1.5,10.4,-15.0,31.5,265.565
2015,9.0,19.9,-6.8,104.7,175.42
2015,2.1,14.4,-10.2,70.3,215.94
2016,-2.6,14.7,-20.6,36.1,242.055
2016,6.5,20.8,-5.8,23.3,284.98
2016,1.3,16.7,-11.7,53.1,236.285
2017,-1.5,14.4,-14.7,8.6,290.78
2017,4.9,20.8,-5.8,14.2,268.79
2017,-1.8,12.2,-14.9,31.2,219.365
2018,-3.7,10.0,-20.0,41.8,202.75
2018,6.4,20.9,-5.4,42.5,219.595
2018,-0.1,18.3,-14.0,27.4,191.47
2019,-1.9,11.5,-12.4,11.1,229.765
2019,7.0,21.6,-5.8,42.2,307.265
2019,1.4,14.2,-10.2,29.9,236.1
2020,1.7,15.0,-9.3,73.9,232.095
2020,7.3,21.2,-3.8,71.0,279.4
2020,-0.5,12.3,-13.2,16.3,263.365
2021,-2.0,14.3,-22.8,40.6,274.14
2021,6.7,20.8,-4.7,101.8,280.285
2021,1.0,14.2,-11.8,9.5,250.05
2000,7.1,21.5,-6.0,50.0,239.66
2000,2.0,18.7,-8.0,14.5,249.66
2001,-1.2,9.1,-15.1,71.0,237.9
2001,7.4,18.7,-1.0,25.5,279.71
2001,1.4,13.8,-7.0,58.5,220.99
2002,2.6,18.5,-10.6,86.5,211.37
2002,5.7,20.7,-4.3,38.5,289.82
2002,2.8,14.8,-6.5,61.5,234.41
2003,-1.2,12.5,-14.1,44.5,279.44
2003,9.9,24.1,-3.5,49.0,236.12
2003,2.2,14.1,-8.1,38.0,228.66
2004,-0.7,9.5,-12.3,27.5,278.84
2004,9.6,24.7,-0.6,79.5,265.9
2004,3.7,19.6,-5.5,39.5,243.25
2005,-0.5,10.6,-9.1,13.8,269.02
2005,9.1,23.8,-3.7,34.0,298.2
2005,-2.1,15.3,-14.8,67.5,235.13
2006,0.8,14.1,-9.1,17.0,244.19
2006,9.6,21.6,-1.1,63.5,264.67
2006,2.3,14.5,-12.3,66.6,227.62
2007,1.0,10.8,-6.5,19.7,256.49
2007,7.3,20.2,-4.1,7.0,296.93
2007,3.2,15.3,-4.4,68.0,97.01
2008,-0.5,10.7,-10.5,49.8,179.675
2008,8.9,25.0,-3.7,45.1,264.34
2008,3.5,18.2,-11.8,40.9,223.13
2009,-0.4,13.2,-11.8,37.5,268.28
