일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2001,16.2,29.6,7.0,17.0,559.94
2002,5.7,15.8,-5.0,31.8,429.77
2002,11.6,26.0,1.2,166.0,516.37
2002,15.6,26.7,8.6,53.0,560.8
2003,4.1,19.9,-8.4,26.5,400.82
2003,11.3,23.4,1.8,142.5,379.57
2003,17.2,30.2,5.4,82.0,507.43
2004,4.3,17.1,-8.3,27.8,446.46
2004,10.6,25.3,-0.4,82.5,494.08
2004,15.0,26.2,4.9,163.0,440.88
2005,2.9,15.1,-7.9,7.7,545.15
2005,11.4,28.3,-0.8,82.5,566.82
2005,15.8,28.1,4.5,110.5,667.08
2006,3.7,15.6,-9.3,5.7,474.15
2006,10.0,21.2,2.2,60.0,448.27
2006,16.3,26.3,6.9,233.5,560.78
2007,4.9,14.8,-9.1,96.0,363.25
2007,10.0,20.1,-1.6,43.5,507.95
2007,15.8,27.6,6.4,169.5,572.46
2008,6.0,17.4,-4.4,46.7,430.88
2008,12.3,25.8,0.9,56.3,523.18
2008,15.7,27.9,6.1,81.0,583.79
2009,4.9,20.2,-6.0,60.5,442.3
2009,10.7,23.2,1.8,67.0,528.48
2009,17.0,29.2,7.6,157.3,609.85
2010,3.6,13.7,-5.3,52.3,368.68
2010,8.2,19.2,-1.8,62.7,478.99
2010,15.4,27.2,3.0,142.4,555.76
2011,3.1,13.5,-6.5,6.9,524.87
2011,9.0,18.6,-3.7,91.2,493.19
2011,16.2,29.6,6.8,114.2,536.11
2012,3.9,15.3,-6.4,28.1,416.01
2012,10.6,29.2,-1.9,121.6,505.07
2012,17.2,28.1,7.1,10.0,632.16
2013,3.2,20.8,-6.9,22.6,446.08
2013,8.5,20.7,-0.9,47.0,491.93
2013,15.3,27.8,5.4,173.1,543.51
2014,6.4,22.3,-7.5,3.5,424.51
2014,11.7,23.5,-0.9,22.5,464.19
2014,16.2,28.8,5.9,89.5,650.89
2015,4.5,19.6,-7.9,5.0,427.25
2015,11.8,25.6,-0.3,41.4,426.77
2015,16.2,27.8,4.8,27.0,580.22
2016,5.6,19.6,-9.1,52.3,425.19
2016,11.9,27.8,1.1,93.1,433.45
2016,17.5,29.9,7.5,191.8,555.43
2017,5.0,17.0,-5.4,11.7,435.76
2017,11.9,21.3,0.7,65.4,483.55
2017,16.9,27.0,6.2,26.6,586.76
2018,6.1,19.3,-8.1,31.6,440.44
2018,11.0,22.6,-1.2,113.6,515.49
2018,16.2,27.9,5.6,150.7,593.98
2019,5.6,15.1,-4.6,20.7,464.54
2019,10.7,25.5,-1.2,28.3,543.795
2019,16.9,29.0,5.5,43.0,739.095
2020,6.4,20.3,-6.3,6.7,552.175
2020,9.9,20.6,-0.5,10.5,678.875
2020,16.1,27.0,7.4,124.2,548.095
2021,6.9,20.7,-2.6,102.4,470.565
2021,12.4,25.5,1.4,107.7,574.66
2021,15.7,27.8,5.9,240.9,626.62
