일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2010,25.0,35.7,20.0,128.9,473.33
2010,20.0,31.4,7.8,146.0,400.58
2010,14.6,24.0,3.0,44.7,352.41
2011,23.9,33.7,17.0,119.3,439.715
2011,19.9,27.7,10.2,187.7,411.0
2011,14.0,26.4,1.6,70.6,383.715
2012,24.1,31.7,17.9,201.5,451.065
2012,18.8,29.3,9.6,265.4,430.255
2012,14.6,24.7,4.5,7.6,417.91
2013,27.0,37.8,17.7,42.9,553.64
2013,20.3,31.3,12.5,109.7,386.625
2013,15.6,24.6,4.7,212.8,341.205
2014,22.3,30.9,14.3,331.6,351.285
2014,20.0,28.5,11.0,139.3,410.76
2014,15.2,26.6,5.2,195.0,371.79
2015,24.3,35.5,17.4,125.4,503.905
2015,19.5,26.9,12.1,38.1,428.17
2015,15.3,26.8,0.9,10.7,421.11
2016,24.9,32.9,15.1,114.3,575.67
2016,20.6,28.8,13.1,243.0,283.83
2016,15.6,25.2,5.2,96.7,274.38
2017,24.1,34.1,14.6,267.1,333.08
2017,20.5,29.6,11.6,92.8,397.915
2017,15.3,25.0,3.6,133.9,212.98
2018,25.5,36.6,18.7,211.3,505.79
2018,19.9,29.3,11.3,143.7,343.26
2018,13.5,23.8,1.6,336.1,396.81
2019,25.1,35.8,17.3,140.5,524.4
2019,21.1,30.7,10.7,184.5,334.03
2019,16.2,25.3,5.5,661.3,354.87
2020,25.5,35.0,19.7,148.9,486.84
2020,20.0,30.3,11.1,236.3,395.94
2020,14.3,26.8,5.2,1.9,420.68
2021,24.0,31.9,17.9,291.3,435.96
2021,21.0,28.8,15.1,142.7,379.36
2021,15.7,28.6,3.4,201.2,370.415
2000,24.3,32.5,17.7,233.2,379.49
2000,18.3,30.2,7.8,237.0,308.66
2000,12.9,25.2,0.0,22.4,305.39
2001,24.6,34.2,12.8,70.9,455.63
2001,19.3,30.4,5.2,135.4,384.83
2001,14.0,23.8,4.9,96.3,282.88
2002,23.7,33.8,16.5,558.7,303.3
2002,19.4,31.7,10.7,71.3,344.41
2002,11.6,24.9,-3.6,30.7,308.68
2003,22.9,32.4,14.9,296.5,322.79
2003,19.7,31.4,8.0,187.5,285.95
2003,11.8,25.3,-1.7,19.0,371.36
2004,23.9,34.4,14.7,283.8,389.74
2004,19.5,29.7,10.6,143.9,317.12
2004,12.7,24.9,0.1,1.5,328.39
2005,23.7,34.1,13.1,227.6,423.54
2005,20.1,32.4,11.1,115.9,339.81
2005,13.1,24.3,-1.0,20.1,278.13
2006,26.0,35.7,18.1,59.1,459.5
2006,18.4,28.5,9.0,49.6,362.27
2006,15.6,26.2,3.4,23.6,327.27
2007,25.7,33.9,17.4,261.5,375.69
2007,20.9,31.9,13.1,280.5,260.0
