일시,일반겨울배추:면적 (ha),생산량 (톤)
2000,178,9060
2001,132,6970
2002,102,5100
2003,109,7630
2004,100,6273
2005,22,1009
2006,52,2203
2007,57,2308
2008,39,1847
2009,22,1142
2010,4,184
2011,16,778
2012,6,248
2013,14,572
2014,65,2625
2015,3,121
2016,1,41
2017,7,278
2018,10,423
2019,8,335
2020,5,214
2021,19,792
