일시,일반여름배추:면적 (ha),10a당 생산량 (kg),생산량 (톤)
2000,810,4011,32489
2001,796,3241,25798
2002,521,3695,19251
2003,790,4560,36024
2004,785,4045,31753
2005,286,4452,12733
2006,592,4428,26214
2007,435,4348,18914
2008,438,4312,18887
2009,389,4282,16657
2010,363,4191,15213
2011,439,4151,18223
2012,192,5126,9842
2013,198,5001,9902
2014,152,4472,6797
2015,162,4475,7250
2016,295,3331,9826
2017,249,5337,13291
2018,197,6246,12283
2019,190,6492,12318
2020,230,6533,15013
2021,261,6549,17111
