일시,일반겨울배추:면적 (ha),생산량 (톤)
2000,2147,87619
2001,1983,83405
2002,1329,56908
2003,1735,82760
2004,2133,100486
2005,1377,42246
2006,1415,63958
2007,908,43757
2008,969,44642
2009,784,38636
2010,658,27682
2011,1091,50077
2012,223,9060
2013,562,24115
2014,452,18627
2015,652,25506
2016,600,28872
2017,842,47271
2018,646,31063
2019,689,34473
2020,840,41637
2021,953,49258
