일시,일반여름배추:면적 (ha),생산량 (톤)
2000,72,2660
2001,8,353
2002,49,1623
2003,40,1228
2004,88,1875
2005,30,743
2006,14,294
2007,85,1913
2008,9,230
2009,53,2205
2010,0,0
2011,0,0
2012,1,41
2013,0,0
2014,0,0
2015,0,0
2016,1,45
2017,1,23
2018,0,1
2019,0,1
2020,0,1
2021,5,228
