일시,일반겨울배추:면적 (ha),생산량 (톤)
2000,403,17917
2001,452,26035
2002,248,13764
2003,277,15401
2004,297,16513
2005,166,9230
2006,177,9694
2007,156,8510
2008,91,4515
2009,92,4563
2010,97,4143
2011,25,1147
2012,34,1472
2013,25,2466
2014,27,1640
2015,35,2126
2016,3,183
2017,29,1771
2018,9,565
2019,5,243
2020,23,1237
2021,5,259
