일시,일반봄배추:면적 (ha),생산량 (톤)
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,973,47988
2015,1136,55607
2016,482,22278
2017,1499,70222
2018,1485,66022
2019,1190,79004
2020,1251,77883
2021,1250,72993
