일시,일반겨울배추:면적 (ha),생산량 (톤)
2000,1331,51949
2001,1081,46656
2002,1015,50486
2003,1021,49079
2004,1045,47046
2005,728,33168
2006,823,37776
2007,527,24242
2008,481,20582
2009,295,12275
2010,161,6859
2011,389,17587
2012,196,9230
2013,197,8554
2014,176,8568
2015,334,15254
2016,246,10959
2017,209,9637
2018,164,7510
2019,215,10103
2020,393,18335
2021,288,13434
