일시,일반여름배추:면적 (ha),10a당 생산량 (kg),생산량 (톤)
2000,177,4799,8494
2001,232,4520,10486
2002,259,6940,17975
2003,200,5340,10680
2004,212,4945,10483
2005,37,5202,1925
2006,32,4705,1506
2007,48,4915,2359
2008,66,4865,3211
2009,30,5037,1511
2010,30,4571,1371
2011,19,4553,865
2012,9,4375,394
2013,5,4140,207
2014,4,4375,175
2015,4,4453,178
2016,5,4453,223
2017,33,4453,1485
2018,6,4453,283
2019,22,4453,996
2020,27,5385,1478
2021,27,4912,1343
