일시,일반가을배추:면적 (ha),생산량 (톤)
2000,810,32489
2001,796,25798
2002,521,19251
2003,790,36024
2004,785,31753
2005,286,12733
2006,592,26214
2007,435,18914
2008,438,18887
2009,389,16657
2010,363,15213
2011,439,18223
2012,192,9842
2013,198,9902
2014,152,6797
2015,162,7250
2016,295,9826
2017,249,13291
2018,197,12283
2019,190,12318
2020,230,15013
2021,261,17111
