일시,일반가을배추:면적 (ha),생산량 (톤)
2000,713,30459
2001,708,34650
2002,441,19841
2003,732,34323
2004,605,29990
2005,502,25145
2006,590,28715
2007,355,17225
2008,459,22904
2009,550,27269
2010,372,15464
2011,683,29956
2012,354,14585
2013,374,24183
2014,505,30325
2015,379,24294
2016,240,12341
2017,497,26863
2018,582,25411
2019,269,15677
2020,546,30360
2021,449,24901
