2000.6,2000.7,2000.8,2001.6,2001.7,2001.8,2002.6,2002.7,2002.8,2003.6,2003.7,2003.8,2004.6,2004.7,2004.8,2005.6,2005.7,2005.8,2006.6,2006.7,2006.8,2007.6,2007.7,2007.8,2008.6,2008.7,2008.8,2009.6,2009.7,2009.8,2010.6,2010.7,2010.8,2011.6,2011.7,2011.8,2012.6,2012.7,2012.8,2013.6,2013.7,2013.8,2014.6,2014.7,2014.8,2015.6,2015.7,2015.8,2016.6,2016.7,2016.8,2017.6,2017.7,2017.8,2018.6,2018.7,2018.8,2019.6,2019.7,2019.8,2020.6,2020.7,2020.8,2021.6,2021.7,2021.8
노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤)
324,10835,35105,281,14536,40846,228,11207,25552,210,10546,22147,123,10880,13382,134,11670,15638,195,10573,20618,169,10096,17063,106,8726,9249,141,11919,16806,115,10440,12005,150,15778,23667,106,11280,11957,99,10360,10256,83,11698,9710,84,11137,9355,41,11180,4584,73,7266,5270,59,11580,6859,40,12114,4890,48,13079,6267,36,11239,4017
