,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
연도별,시도별,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도
2003.5,생산량 (톤),1228,15401,10680,1552,7630,1473,2115,-,49079,321049,128542,36024,88876,482034,73735,49691,33493
2003.6,일반봄배추:면적 (ha),40,277,200,42,109,32,48,-,1021,1735,2589,790,732,9435,3029,675,863
2003.7,10a당 생산량 (kg),3069,5560,5340,3695,7000,4604,4406,-,4807,4770,4916,4560,4689,5109,1835,4025,3881
2003.8,생산량 (톤),1228,15401,10680,1552,7630,1473,2115,-,49079,82760,127275,36024,34323,482034,55582,27169,33493
2003.9,고랭지배추:면적 (ha),0,0,0,0,0,0,0,-,0,6284,31,0,1424,0,481,576,0
2003.10,10a당 생산량 (kg),0,0,0,0,0,0,0,-,0,3792,4087,0,3831,0,3774,3910,0
2003.11,생산량 (톤),0,0,0,0,0,0,0,-,0,238289,1267,0,54553,0,18153,22522,0
2003.12,노지가을배추:면적 (ha),25,210,48,142,155,91,74,-,1798,782,1113,2205,1449,1998,1294,918,294
2003.13,10a당 생산량 (kg),9760,10546,8863,9526,10062,9303,10195,-,7568,6873,8139,10013,10621,10662,7390,10004,9216
2003.14,생산량 (톤),2440,22147,4254,13527,15596,8466,7544,-,136073,53747,90587,220787,153898,213027,95627,91837,27095
2004,노지배추:면적 (ha),124,420,307,222,286,118,175,-,3019,8842,3801,3326,3290,8586,4601,2352,660
2004.1,10a당 생산량 (kg),4311,7118,6348,10100,9094,9465,7635,-,7229,4426,6357,9507,7925,6978,6064,7839,5157
2004.2,생산량 (톤),5346,29895,19488,22422,26009,11169,13361,-,218251,391363,241632,316218,260717,599165,279015,184374,34033
2004.3,노지봄배추:면적 (ha),88,297,212,45,100,22,89,-,1045,8097,2204,785,1641,6784,3181,1184,497
2004.4,10a당 생산량 (kg),2131,5560,4945,3593,6273,4527,3713,-,4502,4102,4583,4045,4409,5831,4616,4392,3525
2004.5,생산량 (톤),1875,16513,10483,1617,6273,996,3305,-,47046,332128,101016,31753,72352,395575,146841,52005,17519
2004.6,일반봄배추:면적 (ha),88,297,212,45,100,22,89,-,1045,2133,2184,785,605,6784,2782,668,497
2004.7,10a당 생산량 (kg),2131,5560,4945,3593,6273,4529,3713,-,4502,4711,4587,4045,4957,5831,4708,4489,3525
2004.8,생산량 (톤),1875,16513,10483,1617,6273,996,3305,-,47046,100486,100180,31753,29990,395575,130977,29987,17519
2004.9,고랭지배추:면적 (ha),0,0,0,0,0,0,0,-,0,5964,20,0,1036,0,399,516,0
2004.10,10a당 생산량 (kg),0,0,0,0,0,0,0,-,0,3884,4181,0,4089,0,3976,4267,0
2004.11,생산량 (톤),0,0,0,0,0,0,0,-,0,231642,836,0,42362,0,15864,22018,0
2004.12,노지가을배추:면적 (ha),36,123,95,177,186,96,86,-,1974,745,1597,2541,1649,1802,1420,1168,163
2004.13,10a당 생산량 (kg),9641,10880,9479,11754,10611,10597,11693,-,8673,7951,8805,11195,11423,11298,9308,11333,10131
2004.14,생산량 (톤),3471,13382,9005,20805,19736,10173,10056,-,171205,59235,140616,284465,188365,203590,132174,132369,16514
2005,노지배추:면적 (ha),56,300,108,198,164,64,132,-,2559,7117,2456,1998,2292,10914,3231,1813,745
2005.1,10a당 생산량 (kg),5727,8289,7955,9106,10279,9158,7682,-,7313,4050,6678,9903,8343,6217,6070,8333,5401
2005.2,생산량 (톤),3207,24868,8591,18029,16858,5861,10140,-,187137,288229,164023,197869,191220,678505,196131,151084,40237
2005.3,노지봄배추:면적 (ha),30,166,37,51,22,11,62,-,728,6484,1276,286,1080,9442,2134,790,547
2005.4,10a당 생산량 (kg),2477,5560,5203,3480,4586,4473,4379,-,4556,3675,4580,4452,4619,5367,4512,4406,3454
2005.5,생산량 (톤),743,9230,1925,1775,1009,492,2715,-,33168,238304,58437,12733,49889,506752,96293,34810,18893
2005.6,일반봄배추:면적 (ha),30,166,37,51,22,11,62,-,728,1377,1246,286,502,9442,1719,418,547
2005.7,10a당 생산량 (kg),2477,5560,5202,3480,4585,4472,4379,-,4556,3068,4591,4452,5009,5367,4664,4516,3454
2005.8,생산량 (톤),743,9230,1925,1775,1009,492,2715,-,33168,42246,57204,12733,25145,506752,80174,18877,18893
2005.9,고랭지배추:면적 (ha),0,0,0,0,0,0,0,-,0,5107,30,0,578,0,415,372,0
2005.10,10a당 생산량 (kg),0,0,0,0,0,0,0,-,0,3839,4109,0,4281,0,3884,4283,0
2005.11,생산량 (톤),0,0,0,0,0,0,0,-,0,196058,1233,0,24744,0,16119,15933,0
2005.12,노지가을배추:면적 (ha),26,134,71,147,142,53,70,-,1831,633,1180,1712,1212,1472,1097,1023,198
2005.13,10a당 생산량 (kg),9475,11670,9389,11057,11161,10131,10607,-,8409,7887,8948,10814,11661,11668,9101,11366,10780
2005.14,생산량 (톤),2464,15638,6666,16254,15849,5369,7425,-,153969,49925,105586,185136,141331,171753,99838,116274,21344
2006,노지배추:면적 (ha),44,372,119,273,180,93,181,-,2848,7710,2691,2894,2911,10288,4610,2232,688
2006.1,10a당 생산량 (kg),7282,8148,9823,8278,8275,9248,8186,-,7402,4556,6781,9118,8699,6816,6273,7863,4653
2006.2,생산량 (톤),3204,30312,11689,22598,14895,8601,14816,-,210805,351260,182478,263871,253236,701235,289163,175502,32015
2006.3,노지봄배추:면적 (ha),14,177,32,65,52,3,72,-,823,6843,1160,592,1161,8218,2968,985,601
2006.4,10a당 생산량 (kg),2100,5477,4706,3085,4237,5000,4300,-,4590,4068,4261,4428,4462,5781,4607,4814,3672
2006.5,생산량 (톤),294,9694,1506,2005,2203,150,3096,-,37776,278364,49424,26214,51806,475083,136721,47417,22069
2006.6,일반봄배추:면적 (ha),14,177,32,65,52,3,72,-,823,1415,1153,592,590,8218,2356,552,601
2006.7,10a당 생산량 (kg),2099,5477,4705,3085,4237,4986,4300,-,4590,4520,4261,4428,4867,5781,4663,5559,3672
2006.8,생산량 (톤),294,9694,1506,2005,2203,150,3096,-,37776,63958,49129,26214,28715,475083,109860,30686,22069
2006.9,고랭지배추:면적 (ha),0,0,0,0,0,0,0,-,0,5428,7,0,571,0,612,433,0
2006.10,10a당 생산량 (kg),0,0,0,0,0,0,0,-,0,3950,4214,0,4044,0,4389,3864,0
2006.11,생산량 (톤),0,0,0,0,0,0,0,-,0,214406,295,0,23091,0,26861,16731,0
2006.12,노지가을배추:면적 (ha),30,195,87,208,128,90,109,-,2025,867,1531,2302,1750,2070,1642,1247,87
2006.13,10a당 생산량 (kg),9701,10573,11704,9900,9916,9390,10752,-,8545,8408,8691,10324,11510,10925,9284,10271,11432
2006.14,생산량 (톤),2910,20618,10183,20593,12692,8451,11720,-,173029,72896,133054,237657,201430,226152,152442,128085,9946
2007,노지배추:면적 (ha),106,325,139,243,170,69,217,-,2158,6812,1895,2443,2293,8312,3766,1843,589
2007.1,10a당 생산량 (kg),3216,7869,7865,7705,7291,8403,7863,-,7828,4532,6821,8356,7987,6781,6304,8170,6764
2007.2,생산량 (톤),3409,25573,10932,18722,12395,5798,17063,-,168920,308729,129260,204131,183152,563643,237405,150574,39842
2007.3,노지봄배추:면적 (ha),85,156,48,68,57,6,76,-,527,6098,805,435,913,6635,2224,727,342
2007.4,10a당 생산량 (kg),2251,5455,4915,3360,4049,4700,4330,-,4600,4130,4840,4348,4356,5938,4811,4484,3650
2007.5,생산량 (톤),1913,8510,2359,2285,2308,282,3291,-,24242,251876,38962,18914,39774,393986,107005,32601,12483
2007.6,일반봄배추:면적 (ha),85,156,48,68,57,6,76,-,527,908,805,435,355,6635,1868,520,342
2007.7,10a당 생산량 (kg),2250,5455,4915,3361,4049,4698,4330,-,4600,4819,4840,4348,4852,5938,4929,4760,3650
2007.8,생산량 (톤),1913,8510,2359,2285,2308,282,3291,-,24242,43757,38962,18914,17225,393986,92074,24752,12483
2007.9,고랭지배추:면적 (ha),0,0,0,0,0,0,0,-,0,5190,0,0,558,0,356,207,0
2007.10,10a당 생산량 (kg),0,0,0,0,0,0,0,-,0,4010,0,0,4041,0,4194,3792,0
2007.11,생산량 (톤),0,0,0,0,0,0,0,-,0,208119,0,0,22549,0,14931,7849,0
2007.12,노지가을배추:면적 (ha),21,169,91,175,113,63,141,-,1631,714,1090,2008,1380,1677,1542,1116,247
2007.13,10a당 생산량 (kg),7125,10096,9421,9392,8926,8756,9767,-,8870,7963,8284,9224,10390,10117,8457,10571,11077
2007.14,생산량 (톤),1496,17063,8573,16437,10087,5516,13772,-,144678,56853,90298,185217,143378,169657,130400,117973,27359
2008,노지배추:면적 (ha),62,197,178,265,165,120,159,-,2401,6963,2931,2581,2550,9344,4083,1645,560
2008.1,10a당 생산량 (kg),9048,6987,7314,7061,9626,9289,10852,-,8725,4564,7637,9639,8543,6978,6895,8774,7639
2008.2,생산량 (톤),5610,13764,13019,18712,15883,11147,17255,-,209499,317812,223841,248788,217844,651989,281514,144337,42777
2008.3,노지봄배추:면적 (ha),9,91,66,61,39,1,16,-,481,6146,926,438,965,7160,2266,579,267
2008.4,10a당 생산량 (kg),2556,4962,4865,3479,4736,5000,4250,-,4279,3938,4567,4312,4480,5687,4614,4869,3574
2008.5,생산량 (톤),230,4515,3211,2122,1847,50,680,-,20582,242041,42290,18887,43230,407189,104545,28190,9543
2008.6,일반봄배추:면적 (ha),9,91,66,61,39,1,16,-,481,969,926,438,459,7160,1795,332,267
2008.7,10a당 생산량 (kg),2554,4962,4865,3479,4736,4990,4249,-,4279,4607,4567,4312,4990,5687,4809,5131,3574
2008.8,생산량 (톤),230,4515,3211,2122,1847,50,680,-,20582,44642,42290,18887,22904,407189,86322,17035,9543
2008.9,고랭지배추:면적 (ha),0,0,0,0,0,0,0,-,0,5177,0,0,506,0,471,247,0
2008.10,10a당 생산량 (kg),0,0,0,0,0,0,0,-,0,3813,0,0,4017,0,3869,4516,0
2008.11,생산량 (톤),0,0,0,0,0,0,0,-,0,197399,0,0,20326,0,18223,11155,0
2008.12,노지가을배추:면적 (ha),53,106,112,204,126,119,143,-,1920,817,2005,2143,1585,2184,1817,1066,293
2008.13,10a당 생산량 (kg),10151,8726,8757,8132,11140,9325,11591,-,9839,9274,9055,10728,11017,11209,9740,10896,11343
2008.14,생산량 (톤),5380,9249,9808,16590,14036,11097,16575,-,188917,75771,181551,229901,174614,244800,176969,116147,33234
2009,노지배추:면적 (ha),70,233,166,235,123,108,183,-,2302,6515,2442,2503,2587,8072,3887,1525,435
2009.1,10a당 생산량 (kg),6273,9171,9693,12242,11041,9373,9675,-,9889,4680,7665,10134,9032,7764,7051,8922,7873
2009.2,생산량 (톤),4391,21369,16091,28769,13580,10123,17706,-,227639,304892,187182,253647,233670,626707,274053,136061,34248
2009.3,노지봄배추:면적 (ha),53,92,30,12,22,6,54,-,295,5597,813,389,1056,5719,2066,498,222
2009.4,10a당 생산량 (kg),4160,4960,5037,3475,5191,4317,4320,-,4161,3920,5236,4282,4495,5712,4788,4545,3663
2009.5,생산량 (톤),2205,4563,1511,417,1142,259,2333,-,12275,219412,42570,16657,47469,326669,98910,22636,8132
2009.6,일반봄배추:면적 (ha),53,92,30,12,22,6,54,-,295,784,809,389,550,5719,1944,390,222
2009.7,10a당 생산량 (kg),4161,4960,5037,3479,5189,4312,4320,-,4161,4928,5242,4282,4958,5712,4858,4395,3663
2009.8,생산량 (톤),2205,4563,1511,417,1142,259,2333,-,12275,38636,42408,16657,27269,326669,94440,17141,8132
2009.9,고랭지배추:면적 (ha),0,0,0,0,0,0,0,-,0,4813,4,0,506,0,122,108,0
2009.10,10a당 생산량 (kg),0,0,0,0,0,0,0,-,0,3756,4057,0,3992,0,3664,5088,0
2009.11,생산량 (톤),0,0,0,0,0,0,0,-,0,180776,162,0,20200,0,4470,5495,0
2009.12,노지가을배추:면적 (ha),17,141,136,223,101,102,129,-,2007,918,1629,2114,1531,2353,1821,1027,213
2009.13,10a당 생산량 (kg),12856,11919,10720,12714,12314,9671,11917,-,10731,9312,8877,11210,12162,12751,9618,11044,12261
2009.14,생산량 (톤),2186,16806,14580,28352,12438,9864,15373,-,215364,85480,144612,236990,186201,300038,175143,113425,26116
2010,노지배추:면적 (ha),8,212,159,176,62,76,166,-,2002,5905,2215,2421,2077,8976,3148,1587,611
2010.1,10a당 생산량 (kg),8363,7617,6677,6145,9745,6324,7881,-,8028,3412,6426,8175,8035,7074,5885,7813,5838
2010.2,생산량 (톤),669,16148,10616,10816,6042,4806,13082,-,160723,201500,142328,197911,166896,634936,185250,123993,35668
2010.3,노지봄배추:면적 (ha),0,97,30,6,4,17,18,-,161,5105,814,363,592,6424,1690,505,435
2010.4,10a당 생산량 (kg),0,4271,4570,3383,4600,3735,4478,-,4260,2845,5343,4191,4042,5684,4212,5235,4307
2010.5,생산량 (톤),0,4143,1371,203,184,635,806,-,6859,145216,43492,15213,23927,365140,71182,26437,18735
2010.6,일반봄배추:면적 (ha),0,97,30,6,4,17,18,-,161,658,814,363,372,6424,1567,366,435
2010.7,10a당 생산량 (kg),0,4271,4571,3378,4610,3738,4477,-,4260,4207,5343,4191,4157,5684,4236,5665,4307
2010.8,생산량 (톤),0,4143,1371,203,184,635,806,-,6859,27682,43492,15213,15464,365140,66378,20734,18735
2010.9,고랭지배추:면적 (ha),0,0,0,0,0,0,0,-,0,4447,0,0,220,0,123,139,0
2010.10,10a당 생산량 (kg),0,0,0,0,0,0,0,-,0,2643,0,0,3847,0,3906,4103,0
2010.11,생산량 (톤),0,0,0,0,0,0,0,-,0,117534,0,0,8463,0,4804,5703,0
2010.12,노지가을배추:면적 (ha),8,115,129,170,58,59,148,-,1841,800,1401,2058,1485,2552,1458,1082,176
2010.13,10a당 생산량 (kg),8358,10440,7167,6243,10100,7069,8294,-,8358,7035,7055,8877,9628,10572,7824,9016,9621
2010.14,생산량 (톤),669,12005,9245,10613,5858,4171,12276,-,153864,56284,98836,182698,142969,269796,114068,97556,16933
2011,노지배추:면적 (ha),15,175,144,223,111,126,195,-,2617,6394,3441,2840,2808,9807,4135,2290,483
2011.1,10a당 생산량 (kg),10460,14179,10351,11061,11241,8988,10934,-,9576,4420,7125,9443,8139,8085,7436,9162,6540
2011.2,생산량 (톤),1569,24814,14905,24666,12478,11325,21322,-,250597,282614,245172,268174,228546,792877,307463,209804,31587
2011.3,노지봄배추:면적 (ha),0,25,19,12,16,35,23,-,389,5244,1366,439,1003,6202,2410,908,387
2011.4,10a당 생산량 (kg),0,4588,4553,4233,4863,3983,4587,-,4521,3307,4991,4151,4254,5236,4579,5503,5224
2011.5,생산량 (톤),0,1147,865,508,778,1394,1055,-,17587,173421,68177,18223,42666,324737,110348,49964,20217
2011.6,일반봄배추:면적 (ha),0,25,19,12,16,35,23,-,389,1091,1366,439,683,6202,2322,778,387
2011.7,10a당 생산량 (kg),0,4588,4553,4236,4861,3982,4589,-,4521,4590,4991,4151,4386,5236,4602,5786,5224
2011.8,생산량 (톤),0,1147,865,508,778,1394,1055,-,17587,50077,68177,18223,29956,324737,106858,45015,20217
2011.9,고랭지배추:면적 (ha),0,0,0,0,0,0,0,-,0,4153,0,0,320,0,88,130,0
2011.10,10a당 생산량 (kg),0,0,0,0,0,0,0,-,0,2970,0,0,3972,0,3966,3807,0
2011.11,생산량 (톤),0,0,0,0,0,0,0,-,0,123344,0,0,12710,0,3490,4949,0
2011.12,노지가을배추:면적 (ha),15,150,125,211,95,91,172,-,2228,1150,2075,2401,1805,3605,1725,1382,96
2011.13,10a당 생산량 (kg),10458,15778,11232,11449,12316,10913,11783,-,10458,9495,8530,10410,10298,12986,11427,11566,11844
