2000.3,2000.4,2000.5,2001.3,2001.4,2001.5,2002.3,2002.4,2002.5,2003.3,2003.4,2003.5,2004.3,2004.4,2004.5,2005.3,2005.4,2005.5,2006.3,2006.4,2006.5,2007.3,2007.4,2007.5,2008.3,2008.4,2008.5,2009.3,2009.4,2009.5,2010.3,2010.4,2010.5,2011.3,2011.4,2011.5,2012.3,2012.4,2012.5,2013.3,2013.4,2013.5,2014.3,2014.4,2014.5,2015.3,2015.4,2015.5,2016.3,2016.4,2016.5,2017.3,2017.4,2017.5,2018.3,2018.4,2018.5,2019.3,2019.4,2019.5,2020.3,2020.4,2020.5,2021.3,2021.4,2021.5
고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤)
7461,3770,281280,7277,3993,290571,5645,3825,215921,6284,3792,238289,5964,3884,231642,5107,3839,196058,5428,3950,214406,5190,4010,208119,5177,3813,197399,4813,3756,180776,4447,2643,117534,4153,2970,123344,4794,3655,175221,5099,3641,185655,4579,3525,161410,4368,3129,136675,3940,3068,120879,4733,4814,227851,4986,4908,244705,4597,4756,218631,4423,4457,197148,5143,4470,229873
