2000.3,2000.4,2000.5,2001.3,2001.4,2001.5,2002.3,2002.4,2002.5,2003.3,2003.4,2003.5,2004.3,2004.4,2004.5,2005.3,2005.4,2005.5,2006.3,2006.4,2006.5,2007.3,2007.4,2007.5,2008.3,2008.4,2008.5,2009.3,2009.4,2009.5,2010.3,2010.4,2010.5,2011.3,2011.4,2011.5,2012.3,2012.4,2012.5,2013.3,2013.4,2013.5,2014.3,2014.4,2014.5,2015.3,2015.4,2015.5,2016.3,2016.4,2016.5,2017.3,2017.4,2017.5,2018.3,2018.4,2018.5,2019.3,2019.4,2019.5,2020.3,2020.4,2020.5,2021.3,2021.4,2021.5
고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤)
476,3896,18545,700,3163,22141,666,3972,26454,576,3910,22522,516,4267,22018,372,4283,15933,433,3864,16731,207,3792,7849,247,4516,11155,108,5088,5495,139,4103,5703,130,3807,4949,92,5339,4912,74,2556,1891,27,3498,944,24,5317,1276,65,5279,3431,6,5200,300,0,0,0,0,0,0,4,4740,175,8,4741,380
