2000.6,2000.7,2000.8,2001.6,2001.7,2001.8,2002.6,2002.7,2002.8,2003.6,2003.7,2003.8,2004.6,2004.7,2004.8,2005.6,2005.7,2005.8,2006.6,2006.7,2006.8,2007.6,2007.7,2007.8,2008.6,2008.7,2008.8,2009.6,2009.7,2009.8,2010.6,2010.7,2010.8,2011.6,2011.7,2011.8,2012.6,2012.7,2012.8,2013.6,2013.7,2013.8,2014.6,2014.7,2014.8,2015.6,2015.7,2015.8,2016.6,2016.7,2016.8,2017.6,2017.7,2017.8,2018.6,2018.7,2018.8,2019.6,2019.7,2019.8,2020.6,2020.7,2020.8,2021.6,2021.7,2021.8
노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤)
166,9907,16446,176,9996,17593,128,9549,12223,142,9526,13527,177,11754,20805,147,11057,16254,208,9900,20593,175,9392,16437,204,8132,16590,223,12714,28352,170,6243,10613,211,11449,24158,159,9317,14813,199,9576,19055,186,11012,20482,197,12223,24080,119,10461,12449,130,11225,14641,126,11815,14935,112,12163,13601,117,10867,12720,138,9664,13333
