2000.6,2000.7,2000.8,2001.6,2001.7,2001.8,2002.6,2002.7,2002.8,2003.6,2003.7,2003.8,2004.6,2004.7,2004.8,2005.6,2005.7,2005.8,2006.6,2006.7,2006.8,2007.6,2007.7,2007.8,2008.6,2008.7,2008.8,2009.6,2009.7,2009.8,2010.6,2010.7,2010.8,2011.6,2011.7,2011.8,2012.6,2012.7,2012.8,2013.6,2013.7,2013.8,2014.6,2014.7,2014.8,2015.6,2015.7,2015.8,2016.6,2016.7,2016.8,2017.6,2017.7,2017.8,2018.6,2018.7,2018.8,2019.6,2019.7,2019.8,2020.6,2020.7,2020.8,2021.6,2021.7,2021.8
노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤)
2458,8778,215763,2199,10513,231181,1640,8500,139400,1798,7568,136073,1974,8673,171205,1831,8409,153969,2025,8545,173029,1631,8870,144678,1920,9839,188917,2007,10731,215364,1841,8358,153864,2228,10458,233010,1873,9611,180015,1831,10830,198297,1505,12084,181864,1383,10703,148026,1280,9890,126596,1437,9544,137180,1283,11149,142990,1215,9842,119551,1211,9211,111503,1185,8986,106510
